ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija
ANKARAN,Prodaja,Hiša,Vrstna,1982,,269.0,540000.0,
ANKARAN,Prodaja,Hiša,Vrstna,1982,,269.0,540000.0,
ANKARAN,Prodaja,Stanovanje,petsobno,2000,,292.2,480000.0,
"ANKARAN, BLIŽINA CENTRA",Prodaja,Hiša,Vrstna,1985,,213.5,320000.0,
"ANKARAN, BLIŽINA CENTRA IN MORJA",Prodaja,Poslovni prostor,Gostinski lokal,1975,,1330.0,1880000.0,
"ANKARAN, CENTER",Prodaja,Stanovanje,dvosobno,1985,,42.1,122000.0,
"ANKARAN, CENTER",Prodaja,Stanovanje,dvosobno,1985,,58.8,145000.0,
"ANKARAN, CENTER",Prodaja,Stanovanje,trisobno,1998,,71.75,214000.0,
"ANKARAN, CENTER MESTA - 300 METROV OD MORJA",Prodaja,Poslovni prostor,Gostinski lokal,2000,,69.5,185000.0,
"ANKARAN, CEREJ",Prodaja,Stanovanje,dvoinpolsobno,1910,,50.9,114000.0,
"ANKARAN, CEREJ PRI ANKARANU",Prodaja,Stanovanje,dvoinpolsobno,1910,,50.9,119000.0,
"ANKARAN, HRVATINI",Prodaja,Hiša,Dvojček,2010,,181.8,560000.0,
"ANKARAN, HRVATINI",Prodaja,Hiša,Samostojna,2005,,188.0,315000.0,
"ANKARAN, HRVATINI",Prodaja,Hiša,Samostojna,2005,,190.0,315000.0,
"ANKARAN, HRVATINI",Prodaja,Hiša,Dvojček,1990,,210.0,240000.0,
"ANKARAN, HRVATINI, POGLED NA MORJE",Prodaja,Hiša,Samostojna,1990,,200.0,340000.0,
"ANKARAN, HRVATINI, SAMOSTOJNA, POGLED",Prodaja,Hiša,Dvostanovanjska,1990,,200.0,340000.0,
"ANKARAN, I50 M OD MORJA PRI LAZARETU",Prodaja,Hiša,Samostojna,1800,,170.0,399000.0,
"ANKARAN, KOLOMBAN",Prodaja,Stanovanje,trisobno,1993,,70.0,190000.0,
"ANKARAN, KOLOMBAN",Prodaja,Stanovanje,trisobno,1993,,70.0,190000.0,
"ANKARAN, KONČNI - VOGALNI",Prodaja,Poslovni prostor,Drugo,1995,,23.0,79000.0,
"ANKARAN, NA ZAČETKU ANKARANA",Prodaja,Stanovanje,garsonjera,1973,,34.3,109800.0,
"ANKARAN, NASELJE OLTRA",Prodaja,Stanovanje,dvosobno,2009,,66.3,229000.0,
"ANKARAN, NOVA GRADNJA",Prodaja,Hiša,Samostojna,2015,,194.5,300000.0,
